Tablero inicial,Tamaño del tablero,Tablero solución,Número de conflicos,Cantidad de Movimientos,Tiempo (segundos),Historial de reinas amenazadas
"[0, 3, 1, 1]",4,"[0, 3, 0, 2]",2,1,0,"[2, 2]"
"[2, 1, 2, 0]",4,"[2, 1, 3, 0]",2,1,0,"[2, 2]"
"[1, 3, 1, 0]",4,"[1, 3, 2, 0]",2,1,0,"[2, 2]"
"[2, 3, 3, 1]",4,"[2, 0, 3, 1]",0,1,0,[0]
"[0, 2, 0, 0]",4,"[1, 3, 0, 2]",0,3,0,"[4, 2, 0]"
"[0, 1, 1, 3]",4,"[0, 3, 0, 2]",2,2,"0,000997543335","[4, 2, 2]"
"[0, 3, 1, 3]",4,"[0, 3, 0, 2]",2,1,0,"[2, 2]"
"[0, 3, 1, 1]",4,"[0, 3, 1, 2]",2,1,0,"[2, 2]"
"[2, 1, 2, 2]",4,"[3, 1, 0, 2]",2,2,0,"[4, 2, 2]"
"[2, 1, 3, 1]",4,"[2, 0, 3, 1]",0,1,0,[0]
"[1, 1, 0, 3]",4,"[1, 3, 0, 3]",2,1,0,"[2, 2]"
"[0, 1, 0, 0]",4,"[2, 0, 3, 0]",2,2,0,"[4, 2, 2]"
"[1, 3, 0, 3]",4,"[1, 3, 0, 2]",0,1,0,[0]
"[2, 3, 0, 2]",4,"[1, 3, 0, 2]",0,1,0,[0]
"[2, 3, 2, 2]",4,"[1, 3, 0, 2]",0,2,0,"[4, 0]"
"[1, 0, 2, 0]",4,"[1, 3, 2, 0]",2,1,0,"[2, 2]"
"[0, 2, 3, 2]",4,"[0, 0, 3, 1]",2,1,0,"[2, 2]"
"[2, 2, 1, 3]",4,"[2, 0, 3, 3]",2,1,"0,0009968280792","[2, 2]"
"[1, 1, 2, 0]",4,"[1, 3, 0, 0]",2,1,0,"[2, 2]"
"[0, 3, 1, 1]",4,"[0, 3, 0, 2]",2,1,0,"[2, 2]"
"[3, 3, 2, 0]",4,"[1, 3, 0, 0]",2,1,0,"[2, 2]"
"[1, 3, 0, 1]",4,"[1, 3, 0, 2]",0,1,0,[0]
"[1, 3, 0, 0]",4,"[1, 3, 0, 2]",0,1,0,[0]
"[3, 1, 2, 2]",4,"[3, 3, 0, 2]",2,1,0,"[2, 2]"
"[1, 2, 0, 0]",4,"[1, 3, 0, 3]",2,1,0,"[2, 2]"
"[1, 1, 3, 3]",4,"[2, 0, 3, 0]",2,2,0,"[4, 2, 2]"
"[3, 0, 1, 2]",4,"[1, 3, 0, 2]",0,3,0,"[4, 2, 0]"
"[0, 2, 0, 0]",4,"[1, 3, 0, 3]",2,2,0,"[4, 2, 2]"
"[2, 1, 1, 1]",4,"[2, 0, 3, 1]",0,2,0,"[4, 0]"
"[2, 2, 1, 1]",4,"[2, 0, 1, 3]",2,2,0,"[4, 2, 2]"
"[2, 5, 1, 2, 5, 1, 7, 0]",8,"[2, 5, 1, 6, 4, 0, 7, 3]",0,4,"0,002992868423","[8, 4, 2, 0]"
"[4, 7, 4, 2, 1, 1, 5, 7]",8,"[4, 2, 0, 6, 1, 3, 5, 7]",2,3,"0,002991437912","[8, 4, 2, 2]"
"[1, 4, 2, 6, 6, 2, 6, 1]",8,"[1, 4, 2, 7, 6, 3, 5, 0]",2,4,"0,003990411758","[8, 6, 4, 2, 2]"
